innings,over,ball,start_time,end_time,bowler,batsman,runs,comment
2,1,4,7382.67999,7387.08,Steyn,Hayden,0,"149.9 kmph, length delivery, kicks up outside off stump, left alone by Hayden"
,,,,,,,,
2,1,5,7412.52,7425.12,Steyn,Hayden,2,walks down the track and pushes it out to right of mid-off
,,,,,,,,
2,1,6,7467.07999,7472.60001,Steyn,Hayden,1,"full, fast - 150.3 kmph- but wide outside off stump. Kumble has a chat with the bowler"
,,,,,,,,
2,1,6,7499.48001,7502.64001,Steyn,Hayden,0,"in the channel outside off stump, angling away from Hayden who lets it go through to Boucher"
,,,,,,,,
2,2,1,7557.79999,7570.44,Praveen,Bailey,0,"full and curving away, jabbed behind the wicket .. the ball rolls back"
,,,,,,,,
2,2,2,7598.32001,7610.67999,Praveen,Bailey,1,stays back to clip it behind square-leg for a single
,,,,,,,,
2,2,3,7637.23999,7647.95999,Praveen,Hayden,4,"It has disappeared over mid-off. Full, looking for swing, and Hayden leans forward quickly to lift it over mid-off. Change of bat for Hayden but not the mini mongoose."
,,,,,,,,
2,2,4,7691.07999,7699.56,Praveen,Hayden,0,"length delivery on middle and off, pushed towards the non striker and PK intercepts"
,,,,,,,,
2,2,5,7736.44,7744.20001,Praveen,Hayden,0,"moves in from middle and leg, slower one, Hayden tries to clip it through the on side, misses and is hit on the thigh pad .."
,,,,,,,,
2,2,6,7769.91998,7777.12,Praveen,Hayden,1,fires across a bouncer .. too high .. Wide
,,,,,,,,
2,2,6,7798.56,7806.03998,Praveen,Hayden,2,"slower one, short in length ,clipped past square-leg for couple of runs"
,,,,,,,,
2,3,1,7858.84003,7866.88,Steyn,Bailey,0,"full, pacy, lands on the middle and off line, 150.3 kmph, curves towards off , defended on the back foot"
,,,,,,,,
2,3,2,7890.03998,7895.44,Steyn,Bailey,0,"lands on a length outside off stump and curves away, 149.3 kmph, left alone"
,,,,,,,,
2,3,3,7921.20001,7927.20001,Steyn,Bailey,0,"a pacy bouncer, 152.6 kmph!, Bailey just about manages to duck out of the way"
,,,,,,,,
2,3,4,7954.64001,7964.44,Steyn,Bailey,1,"fuller, good leg cutter at just over 150 kmph, jabbed out to cover for a quick single . the throw deflects off Bailey's bat as he grounds it in and goes wide of mid-on but Bailey says let's not run this overthrow. perhaps because it went off the bat. World Cup final - one extra run to win, won't he then take the overthrow?!"
,,,,,,,,
2,3,5,7999.12,8005.20001,Steyn,Hayden,1,"pushes this wide outside off stump,"
,,,,,,,,
2,3,5,8033.88,8042.12,Steyn,Hayden,1,"around 147 kmph, short of length outside off, slashed to third man"
,,,,,,,,
2,3,6,8073.84003,8079.96002,Steyn,Bailey,0,"He is beaten for pace here. Around 148 kmph length delivery skidding on quickly towards middle stump, Bailey wanted to work it to the on side but the ball whooshes past the bat and thuds into the thigh pad"
,,,,,,,,
2,4,1,8175.76,8187,Kumble,Hayden,0,"on the middle stump line, worked behind square-leg .. Pk is there .. so no single"
,,,,,,,,
2,4,2,8195.8,8202.92,Kumble,Hayden,1,walks down the track and whips the dipping full toss to midwicket
,,,,,,,,
2,4,3,8234,8238.52,Kumble,Bailey,0,"full and skidding in, driven out to short cover"
,,,,,,,,
2,4,4,8249.39999,8254.2,Kumble,Bailey,0,"the slider arrives, Bailey pushes unconvincingly and it goes off the pad and BOucher collects very well"
,,,,,,,,
2,4,5,8277.52,8284.72,Kumble,Bailey,0,"Bailey can't get Kumble away. Another slider on the middle stump line, pushed out to the on side"
,,,,,,,,
2,4,6,8299.2,8304.48,Kumble,Bailey,0,"ANother dot ball! It skids on from the length, stabbed to the off side"
,,,,,,,,
2,5,1,8381.64001,8385.92001,Kallis,Hayden,0,Beaten by the slower one. Both Hayden and Kallis have a laugh about it. Hayden was going for the big swing but went through too early with the shot
,,,,,,,,
2,5,2,8416.64001,8424.56,Kallis,Hayden,1,works this one past square-leg for a single
,,,,,,,,
2,5,3,8464.12,8469.88,Kallis,Bailey,1,"outside off stump, run down to third man."
,,,,,,,,
2,5,4,8509.48001,8517.44,Kallis,Hayden,1,"moves outside leg stump, Kallis follows him with a full length delivery, Hayden edges the intended big hit to the on side"
,,,,,,,,
2,5,5,8544.20001,8551.60001,Kallis,Bailey,4,Slap! Short in length and outside off and Bailey breaks free with a fierce square-cut
,,,,,,,,
2,5,6,8584.20001,8588.20001,Kallis,Bailey,0,"well directed bouncer, around 134 kmph, at the face, Bailey is late on the pull and just about manages to yank his head out of the way"
,,,,,,,,
2,6,1,8687.79999,8691.76001,Kumble,Hayden,0,"almost a yorker on the middle, pushed back to Kumble"
,,,,,,,,
2,6,2,8700.64001,8711.84003,Kumble,Hayden,1,"walks down the track, another yorker-length, squeezed out to midwicket."
,,,,,,,,
2,6,3,8734.32001,8744.47998,Kumble,Bailey,1,"on the middle stump line, Bailey jumps out to the leg side and cuts it for a single"
,,,,,,,,
2,6,4,8757.52002,8767.32001,Kumble,Hayden,1,"on the leg and middle stump line, lifted towards long-on"
,,,,,,,,
2,6,5,8783.20001,8787.35999,Kumble,Bailey,0,"**shout for a catch behind decision** Lovely skidding two-fingered googly on the middle stump line. .. Bailey is completely cramped, goes for the cut, and it squeezes through to Boucher who breaks the stumps .. Kumble appeals for a catch. Did it take the gloves? There was some deflection"
,,,,,,,,
2,6,6,8822.40002,8831.64001,Kumble,Bailey,1,pushes this one through the off side for a single. What a fine start from Kumble.
,,,,,,,,
2,7,1,8886.35999,8894.56,Kallis,Bailey,1,pushed away for a single
,,,,,,,,
2,7,2,8953.47998,8961.71997,Kallis,Hayden,4,"sprays it just outside leg stump, perhaps he thought Hayden would move down the leg side but Hayden stays where he was and plays the leg glance"
,,,,,,,,
2,7,3,8994.20001,8999.91998,Kallis,Hayden,4,Mon goosebumps time! He crashes the full delivery to long-off boundary.
,,,,,,,,
2,7,4,9033.24,9052,Kallis,Hayden,4,Whack! Kallis drags it short and Hayden plays the pull shot to perfection.
,,,,,,,,
2,7,5,9071.72,9094.2,Kallis,Hayden,0,"from round the stumps now, he slips in a slower one, Hayden walks down the track, goes for the big lofted hit but is beaten by the change of pace"
,,,,,,,,
2,7,6,9103.04,9108.84,Kallis,Hayden,0,"fires a bouncer around off stump line, Hayden sways away from the line"
,,,,,,,,
